example_id,source_operator_anonymized_id,task_type,machine_type,attachment_type,site_condition,technique_description,observed_metric,context_similarity_score,approved_for_peer_learning,synthetic_flag
PE0077,ANON_377,excavation,grader,grapple,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.614,0.938,True,True
PE0078,ANON_837,hauling,loader,blade,difficult,Steady speed on grade optimises fuel per tonne-km,0.607,0.602,True,True
PE0079,ANON_542,hauling,hauler,ripper,moderate,Steady speed on grade optimises fuel per tonne-km,0.666,0.55,True,True
PE0080,ANON_306,loading,loader,hammer,moderate,Sequential loading pattern minimises repositioning,0.923,0.543,True,True
PE0081,ANON_406,loading,dozer,hammer,difficult,Sequential loading pattern minimises repositioning,0.656,0.603,True,True
PE0082,ANON_309,stockpiling,dozer,grapple,easy,Layered placement reduces rehandling effort,0.859,0.663,True,True
PE0083,ANON_457,hauling,hauler,grapple,difficult,Steady speed on grade optimises fuel per tonne-km,0.705,0.902,True,True
PE0084,ANON_149,trenching,grader,blade,moderate,Consistent depth control reduces rework passes,0.617,0.844,True,True
PE0085,ANON_212,hauling,hauler,ripper,moderate,Steady speed on grade optimises fuel per tonne-km,0.839,0.521,True,True
PE0086,ANON_645,hauling,hauler,bucket,difficult,Steady speed on grade optimises fuel per tonne-km,0.729,0.554,True,True
PE0087,ANON_149,hauling,dozer,blade,easy,Steady speed on grade optimises fuel per tonne-km,0.633,0.875,False,True
PE0088,ANON_228,loading,dozer,blade,difficult,Sequential loading pattern minimises repositioning,0.826,0.933,True,True
PE0089,ANON_887,hauling,dozer,ripper,moderate,Steady speed on grade optimises fuel per tonne-km,0.689,0.679,False,True
PE0090,ANON_106,hauling,loader,bucket,difficult,Steady speed on grade optimises fuel per tonne-km,0.8,0.961,False,True
PE0091,ANON_959,grading,excavator,grapple,difficult,Single-pass technique on firm dry soil,0.701,0.512,False,True
PE0092,ANON_650,excavation,loader,blade,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.939,0.913,True,True
PE0093,ANON_974,hauling,loader,bucket,moderate,Steady speed on grade optimises fuel per tonne-km,0.935,0.738,True,True
PE0094,ANON_976,hauling,dozer,hammer,moderate,Steady speed on grade optimises fuel per tonne-km,0.659,0.757,True,True
PE0095,ANON_316,loading,grader,hammer,difficult,Sequential loading pattern minimises repositioning,0.693,0.668,False,True
PE0096,ANON_334,hauling,dozer,blade,difficult,Steady speed on grade optimises fuel per tonne-km,0.857,0.603,True,True
PE0097,ANON_929,stockpiling,grader,ripper,moderate,Layered placement reduces rehandling effort,0.933,0.638,True,True
PE0098,ANON_959,excavation,grader,grapple,easy,Optimal bucket fill angle reduces cycle time by ~12%,0.608,0.845,False,True
PE0099,ANON_111,loading,grader,blade,easy,Sequential loading pattern minimises repositioning,0.739,0.5,True,True
PE0100,ANON_406,trenching,excavator,hammer,moderate,Consistent depth control reduces rework passes,0.762,0.653,True,True
PE0101,ANON_955,trenching,loader,hammer,difficult,Consistent depth control reduces rework passes,0.826,0.549,False,True
PE0102,ANON_608,excavation,hauler,grapple,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.785,0.857,True,True
PE0103,ANON_989,stockpiling,loader,bucket,moderate,Layered placement reduces rehandling effort,0.916,0.603,False,True
PE0104,ANON_748,stockpiling,dozer,hammer,difficult,Layered placement reduces rehandling effort,0.784,0.876,True,True
PE0105,ANON_929,hauling,grader,bucket,moderate,Steady speed on grade optimises fuel per tonne-km,0.639,0.612,True,True
PE0106,ANON_475,hauling,grader,grapple,difficult,Steady speed on grade optimises fuel per tonne-km,0.88,0.977,True,True
PE0107,ANON_589,grading,grader,bucket,difficult,Single-pass technique on firm dry soil,0.832,0.77,True,True
PE0108,ANON_469,hauling,excavator,grapple,difficult,Steady speed on grade optimises fuel per tonne-km,0.728,0.512,True,True
PE0109,ANON_514,loading,hauler,ripper,moderate,Sequential loading pattern minimises repositioning,0.778,0.703,True,True
PE0110,ANON_400,excavation,hauler,ripper,easy,Optimal bucket fill angle reduces cycle time by ~12%,0.71,0.611,True,True
PE0111,ANON_944,stockpiling,loader,grapple,moderate,Layered placement reduces rehandling effort,0.791,0.531,True,True
PE0112,ANON_444,grading,grader,hammer,moderate,Single-pass technique on firm dry soil,0.935,0.648,True,True
PE0113,ANON_378,trenching,dozer,ripper,easy,Consistent depth control reduces rework passes,0.682,0.86,False,True
PE0114,ANON_645,hauling,loader,ripper,easy,Steady speed on grade optimises fuel per tonne-km,0.743,0.694,False,True
PE0115,ANON_460,loading,dozer,ripper,moderate,Sequential loading pattern minimises repositioning,0.722,0.59,True,True
PE0116,ANON_606,trenching,grader,bucket,moderate,Consistent depth control reduces rework passes,0.657,0.897,False,True
PE0117,ANON_772,loading,dozer,ripper,moderate,Sequential loading pattern minimises repositioning,0.815,0.613,True,True
PE0118,ANON_822,grading,loader,ripper,moderate,Single-pass technique on firm dry soil,0.654,0.772,True,True
PE0119,ANON_191,trenching,hauler,blade,moderate,Consistent depth control reduces rework passes,0.754,0.688,True,True
PE0120,ANON_820,stockpiling,loader,blade,difficult,Layered placement reduces rehandling effort,0.609,0.506,True,True
PE0121,ANON_498,excavation,dozer,bucket,easy,Optimal bucket fill angle reduces cycle time by ~12%,0.873,0.916,True,True
PE0122,ANON_664,stockpiling,hauler,grapple,moderate,Layered placement reduces rehandling effort,0.815,0.917,True,True
PE0123,ANON_677,stockpiling,excavator,blade,easy,Layered placement reduces rehandling effort,0.929,0.978,True,True
PE0124,ANON_738,loading,hauler,blade,moderate,Sequential loading pattern minimises repositioning,0.608,0.575,True,True
PE0125,ANON_478,trenching,excavator,grapple,moderate,Consistent depth control reduces rework passes,0.815,0.583,True,True
PE0126,ANON_611,loading,hauler,blade,easy,Sequential loading pattern minimises repositioning,0.831,0.666,False,True
PE0127,ANON_491,stockpiling,dozer,blade,difficult,Layered placement reduces rehandling effort,0.823,0.55,True,True
PE0128,ANON_282,trenching,loader,hammer,difficult,Consistent depth control reduces rework passes,0.884,0.881,False,True
PE0129,ANON_119,hauling,loader,ripper,easy,Steady speed on grade optimises fuel per tonne-km,0.927,0.594,False,True
PE0130,ANON_665,excavation,dozer,bucket,easy,Optimal bucket fill angle reduces cycle time by ~12%,0.755,0.592,True,True
PE0131,ANON_554,loading,hauler,hammer,difficult,Sequential loading pattern minimises repositioning,0.71,0.856,True,True
PE0132,ANON_312,loading,dozer,hammer,difficult,Sequential loading pattern minimises repositioning,0.922,0.654,True,True
PE0133,ANON_178,grading,dozer,bucket,easy,Single-pass technique on firm dry soil,0.657,0.719,True,True
PE0134,ANON_719,loading,dozer,ripper,moderate,Sequential loading pattern minimises repositioning,0.653,0.632,False,True
PE0135,ANON_304,hauling,dozer,ripper,moderate,Steady speed on grade optimises fuel per tonne-km,0.636,0.587,True,True
PE0136,ANON_956,loading,dozer,grapple,difficult,Sequential loading pattern minimises repositioning,0.846,0.613,True,True
PE0137,ANON_216,grading,dozer,ripper,easy,Single-pass technique on firm dry soil,0.845,0.737,False,True
PE0138,ANON_945,grading,excavator,blade,moderate,Single-pass technique on firm dry soil,0.753,0.755,True,True
PE0139,ANON_957,stockpiling,excavator,grapple,easy,Layered placement reduces rehandling effort,0.799,0.771,False,True
PE0140,ANON_786,loading,loader,hammer,easy,Sequential loading pattern minimises repositioning,0.703,0.781,True,True
PE0141,ANON_260,excavation,loader,blade,difficult,Optimal bucket fill angle reduces cycle time by ~12%,0.645,0.87,True,True
PE0142,ANON_122,grading,loader,hammer,easy,Single-pass technique on firm dry soil,0.877,0.578,True,True
PE0143,ANON_848,loading,grader,grapple,moderate,Sequential loading pattern minimises repositioning,0.753,0.699,True,True
PE0144,ANON_601,loading,loader,grapple,moderate,Sequential loading pattern minimises repositioning,0.791,0.942,False,True
PE0145,ANON_421,hauling,dozer,grapple,moderate,Steady speed on grade optimises fuel per tonne-km,0.666,0.602,True,True
PE0146,ANON_428,hauling,excavator,grapple,moderate,Steady speed on grade optimises fuel per tonne-km,0.652,0.632,False,True
PE0147,ANON_814,hauling,grader,grapple,moderate,Steady speed on grade optimises fuel per tonne-km,0.665,0.663,True,True
PE0148,ANON_982,excavation,dozer,hammer,easy,Optimal bucket fill angle reduces cycle time by ~12%,0.908,0.877,True,True
PE0149,ANON_598,stockpiling,dozer,grapple,moderate,Layered placement reduces rehandling effort,0.771,0.55,True,True
PE0150,ANON_265,loading,loader,bucket,moderate,Sequential loading pattern minimises repositioning,0.603,0.664,False,True
